88350557_10057949_10057949	0	11269:11269	6bp2-assembly1_B-2:A-3	Q1PDC7:Q1PDC7
88350557_115052321_115052321	0	1570291:1570291	7m8l-assembly1_E:C	Q05320:Q05320
88350557_115055177_115055177	0	128952:128952	6mam-assembly1_I:L	Q05320:Q05320
88350557_200173151_200173151	0	186540:186540	3s88-assembly2_J-7:I-12	Q7T9D9:Q7T9D9
88350557_200174885_200174885	0	1570291:1570291	6s8j-assembly1_D:E	Q05320:Q05320
88350557_208364877_208364877	0	128952:128952	7tn9-assembly1_S:W	Q05320:Q05320
88350557_212541946_212541946	0	378809:378809	5uqy-assembly1_B-2:A-3	Q1PDC7:Q1PDC7
88350557_212542007_212542007	0	378809:378809	5uqy-assembly2_I:N	Q1PDC7:Q1PDC7
88350557_253095590_253095590	0	1570291:1570291	8y3u-assembly1_D:K	A0A1C4HDL5:A0A1C4HDV6
88350557_37799022_37799022	0	128952:128952	8dpm-assembly1_A:L	Q05320:Q05320
88350557_57929544_57929544	0	128952:128952	6g9i-assembly1_B-2:A-3	Q05320:Q05320
88350557_88212155_88212155	0	128952:128952	5kel-assembly1_E:I	Q05320:Q05320
88350557_88350548_88350548	0	565995:565995	7kfe-assembly1_A:E	B8XCN0:B8XCN0
88350557_88350557_88350557	0	565995:565995	7kfe-assembly1_B:F	B8XCN0:B8XCN0
9734539_180184382_180184382	0	2697049:9606	7rbs-assembly1_A:B	P05161:P0DTD1
9734539_20213714_20213714	0	11122:9913	5bz0-assembly1_A:B	P0C6Y1:P62992
9734539_215887870_215887870	0	1235996:9606	5v6a-assembly1_A:B	K0BWD0:nan
9734539_244045747_244045747	0	290028:9606	7wfc-assembly1_A:B	P62987:U3N841
9734539_248567344_248567344	0	2697049:9606	6xa9-assembly3_E:F	P05161:P0DTD1
9734539_248567345_248567345	0	2697049:9606	6xaa-assembly1_A:B	P0CG47:P0DTD1
9734539_261616985_261616985	0	2697049:10090	6yva-assembly1_A:C	P0DTD1:Q64339
9734539_9734539_9734539	0	1235996:9606	6bi8-assembly2_B:D	K0BWD0:P05161
99777376_99777362_99777362	0	103690:103690	4lh9-assembly1_A:A-2	P27709:P27709
99777376_99777376_99777376	0	103690:103690	4lh9-assembly1_A-5:A-6	P27709:P27709
9907013_2496374_2496374	0	559292:4932	6ap1-assembly1_A:G	P36108:
9907013_9907013_9907013	0	4932:4932	6bmf-assembly1_A:G	P36108:P52917
99777425_99777425_99777425	0	9606:9606	4lhu-assembly1_A:G	P0CF51:P15813
99777582_99777582_99777582	0	3827:3827	6lh6-assembly1_A:B	A0A1S2XQ25:A0A1S2XQ25
99838496_99838496_99838496	0	9031:9031	6lhf-assembly2_D:I	Q6QR64:Q9GIP6
99838497_99838497_99838497	0	9031:9031	6lhf-assembly2_D:J	Q6QR64:Q9GIP6
