197005883	3	1223260	214092	257310
274763646	12	1358	507601	0
253989272	354	2763	11292	9606
195157094	1	354	2854170	2759
251705211	1	3702	10090	4932
163494569	13	1760	3055	33213
152214253	12	4932	294	10116
178126437	1	559292	669	83332
69904347	3	9606	2697049	9823
70911323	2	10090	7137	131567
251710427	3	3055	10872	9606
62501529	6	5911	1280	2854170
244122616	32	33154	63186	431241
41634934	4	543	0	1437010
58016615	2	27295	1061	0
35381296	1	83333	4932	10116
151758245	1	11676	9606	1
86599256	6	10090	4932	9606
245684303	40	1760	10090	2
162353360	42	224326	271	0
57836766	60	314146	131567	312017
85767620	96	33317	33154	0
83210691	2	2336	562	562
244687828	43	9606	9606	246196
30848793	35	131567	9606	287
56306267	1	9606	9986	9615
56501394	6	2557550	2681598	10090
92068055	1	0	9606	300852
45926493	1	559292	33154	9606
59636842	1	3055	9606	9606
149948713	12	83333	562	2697049
34988943	1	190304	3055	1
68156948	2	9986	5654	312
170588380	1	10090	10090	559292
61434496	6	9606	5911	1
163882511	8	243274	591197	9606
58957278	4	64320	312017	9606
227923735	1	559292	272943	9606
35337812	1	912801	781	196627
202669893	3	1	1422	1
212535834	1	562	11320	10090
100591889	1	9606	466051	5811
2798892	1	5693	0	2759
247837863	23	33154	10335	147537
38382733	3	9913	9913	9606
161816498	1	1437010	4932	562
151806099	4	1379270	9606	90371
38888113	1	0	2759	0
39420315	1	0	9986	9606
271461896	27	562	5654	9606
197936288	5	90371	11234	9913
70912249	1	5661	4932	243276
15071549	10	1423	9606	83332
56469047	15	9606	9606	118883
211014500	1	47854	5911	7159
20167161	1	131567	10090	10245
100125395	30	85708	33213	759272
23885738	1	9825	2788787	1773
171399784	1	9940	272621	33090
72595256	2	120962	9796	0
86551306	1	730332	131567	203122
9540584	12	2801834	573	543939
161547136	11	4932	3039	11676
20452975	4	350688	4932	3028117
41633923	12	9606	314147	9913
84933067	4	3039	1437010	1
68591967	99	1224	543	1
271607838	1	3702	5654	314146
277130913	64	33154	8022	9606
180181121	120	10849	33511	33154
60283753	2	1313	9606	8355
230782929	1251	131567	9606	1783272
37628785	3	0	9606	76935
78225599	8	33154	9606	1
210983377	2	314146	9606	491
534750	8	4932	9606	3379134
73034999	12	1236	1125847	9606
86751629	1	2961	559292	10497
271607522	1	4932	10090	210
244115219	1	1313	1003835	2043570
240359005	22	33154	314146	0
201810979	7	930945	502057	10298
160733035	6	9606	9606	266835
171336524	1	1122605	1235829	5689
115323209	13	1224	9031	83333
202373012	1	212017	3702	33154
264113099	12	562	3039	56636
171554916	1	3572	5654	1437010
212899129	1	395019	9606	559292
172495756	1	83334	131567	2788787
56061673	121	138949	5480	763552
227982183	53	2	9823	262968
202375539	15	3055	71275	27288
38979445	1	0	9103	9606
654525	2	300852	4893	4932
58017080	78	2157	273063	4932
163328942	21	2	986	28890
39504995	1	0	4932	3218
84934486	4	3039	1437010	10090
78225256	3	559292	2336	35688
57837392	2	1437010	3039	286
65152364	60	1154689	562	2759
5185175	60	12136	3052225	10090
247883392	2	1061	28985	9606
72408732	19	562	262724	9986
16309533	1	2287	307456	353152
179193940	18	131567	2	9606
179207361	2	1314	1236	83333
264090840	8	5654	12059	9606
67900846	1	9606	9606	9606
100751135	1	240364	131567	559295
86670632	56	131567	11020	9544
62950469	5	10506	5811	562
82880420	2	2759	2763	9606
243197907	195	77763	316	9606
160641855	728	1	1513	0
244489905	1	1084719	9606	33154
82464068	1	562	9606	559292
215893196	2	83333	33154	9606
2552625	1	10090	10665	5833
91067131	1	0	4932	9606
57239586	1	264462	444185	1352
70057816	3	1003835	11084	9606
265057136	1	258594	559292	930945
172449284	14	9606	83332	3728
42668940	1	559292	211586	9606
86679282	10	485	215796	9606
43749331	1	208964	59732	2336
257300860	60	169683	1	559292
115352730	1	9606	1046	131567
87983493	15	518	9606	562
260224766	8	5911	224326	9606
68321563	8	44689	5654	9606
264087993	25	131567	78579	10090
211564933	60	10991	314146	208964
84888486	6	4932	6943	269799
217660496	395	10912	1437010	9606
57951224	1	4932	3379134	9606
115012137	5	1	3055	9606
170229259	8	131567	10760	37919
87994892	62	77763	272943	9606
264114732	4	32523	33728	9606
210430754	1	9606	10761	9606
71755949	60	932662	1224	9606
231999370	1	1	2759	9606
251231195	2	7227	1423	34649
63692706	22	2	9606	1423
59285041	1	3055	759272	1513235
120347960	2	83332	1437010	559292
56631356	4	1198980	9606	562
231999843	14	9606	9606	9606
9818485	6	83332	9606	3039
22294201	18	9606	5664	1519788
70199453	5	307456	11676	9606
202411154	6	9606	131567	9606
152186423	1	10090	9606	562
2750532	1	9606	226185	9835
30985263	1	287	4932	940
160966539	2	287	562	9606
259689917	60	2027243	4565	9103
91123636	10	2681611	0	2
161963225	59	2011081	56187	33154
39389773	2	4932	559292	285525
36795375	3	10090	9606	562
88636788	3	1	9606	300852
179103816	360	10724	0	1236
43382801	1	1	131567	1
178125453	1	9606	559292	5911
160612904	1	83332	307456	131567
161000219	8	9005	3888	5811
78222723	3	559292	371094	10756
244592488	41	59201	131567	100226
69595285	9	33154	224308	4932
10144791	1	10116	9606	1313
72444530	6	9606	39947	1437010
45446298	22	562	9606	9606
59675896	2	562	9606	1379270
249309454	12	38018	7668	2
272359776	60	11060	5911	36329
143979962	60	10506	9606	35688
259870041	6	215796	9606	9606
38696859	4	0	9606	3039
211733715	1	33154	10090	9606
89967068	2	265072	4932	9606
258922010	4	10090	9606	9606
265048946	3	4932	186817	4932
29702699	540	2946627	131567	46928
170229451	1	196627	8656	9606
197162055	30	1437010	1224	1783272
68949939	214	1	9606	5911
239904957	9	1	3702	9606
207948848	1	272558	56636	9606
