100126839	20	20	0	83333	83333	12as-assembly1	A	B	P00963	P00963	40	41
36	36	36	0	10665	562	148l-assembly1	E	S	P00720	nan	72	73
43	43	43	0	1890	1890	173d-assembly1	D	D-2	nan	nan	86	87
43	44	44	0	1890	1890	173d-assembly2	C	C-3	nan	nan	88	89
9223023	84	84	0	9606	9606	1a02-assembly1	F	J	P01100	P05412	168	169
115302787	85	85	0	9986	9986	1a03-assembly1	A	B	P30801	P30801	170	171
68578468	89	89	0	4932	4932	1a0a-assembly1	A	B	P07270	P07270	178	179
20212964	111	111	0	9913	9913	1a0h-assembly1	A	D	P00735	P00735	222	223
113	113	113	0	9913	9913	1a0h-assembly1	B	D	P00735	P00735	226	227
72444536	114	114	0	9913	9913	1a0h-assembly1	B	E	P00735	P00735	228	229
1734169	118	118	0	8030	8030	1a0j-assembly1	A	D	P35033	P35033	236	237
121	121	121	0	8030	8030	1a0j-assembly1	C	D	P35033	P35033	242	243
125	125	125	0	8030	8030	1a0j-assembly2	A	B	P35033	P35033	250	251
126	126	126	0	8030	8030	1a0j-assembly2	A	C	P35033	P35033	252	253
127	127	127	0	8030	8030	1a0j-assembly2	B	C	P35033	P35033	254	255
123	123	123	0	8030	8030	1a0j-assembly2	D-2	B	P35033	P35033	246	247
134	134	134	0	88764	88764	1a0m-assembly1	A	B	P56638	P56638	268	269
118891543	139	139	0	562	562	1a0o-assembly4	G	H	P07363	P0AE67	278	279
8717	8717	8717	0	9606	9606	1a12-assembly1	B	C	P18754	P18754	17434	17435
208688979	8784	8784	0	0	0	1a15-assembly1	A	B	P48061	P48061	17568	17569
5211125	8794	8794	0	9606	9606	1a17-assembly1	A-2	A-3	P53041	P53041	17588	17589
8796	8796	8796	0	9606	9606	1a17-assembly1	A-3	A-4	P53041	P53041	17592	17593
8797	8797	8797	0	9606	9606	1a17-assembly2	A	A-3	P53041	P53041	17594	17595
160651220	8798	8798	0	10090	10090	1a18-assembly1	A	A-2	P04117	P04117	17596	17597
