88350557	10057949	10057949	0	11269	11269	6bp2-assembly1	B-2	A-3	Q1PDC7	Q1PDC7	20115898	20115899
88350557	115052321	115052321	0	1570291	1570291	7m8l-assembly1	E	C	Q05320	Q05320	230104642	230104643
88350557	115055177	115055177	0	128952	128952	6mam-assembly1	I	L	Q05320	Q05320	230110354	230110355
88350557	200173151	200173151	0	186540	186540	3s88-assembly2	J-7	I-12	Q7T9D9	Q7T9D9	400346302	400346303
88350557	200174885	200174885	0	1570291	1570291	6s8j-assembly1	D	E	Q05320	Q05320	400349770	400349771
88350557	208364877	208364877	0	128952	128952	7tn9-assembly1	S	W	Q05320	Q05320	416729754	416729755
88350557	212541946	212541946	0	378809	378809	5uqy-assembly1	B-2	A-3	Q1PDC7	Q1PDC7	425083892	425083893
88350557	212542007	212542007	0	378809	378809	5uqy-assembly2	I	N	Q1PDC7	Q1PDC7	425084014	425084015
88350557	253095590	253095590	0	1570291	1570291	8y3u-assembly1	D	K	A0A1C4HDL5	A0A1C4HDV6	506191180	506191181
88350557	37799022	37799022	0	128952	128952	8dpm-assembly1	A	L	Q05320	Q05320	75598044	75598045
88350557	57929544	57929544	0	128952	128952	6g9i-assembly1	B-2	A-3	Q05320	Q05320	115859088	115859089
88350557	88212155	88212155	0	128952	128952	5kel-assembly1	E	I	Q05320	Q05320	176424310	176424311
88350557	88350548	88350548	0	565995	565995	7kfe-assembly1	A	E	B8XCN0	B8XCN0	176701096	176701097
88350557	88350557	88350557	0	565995	565995	7kfe-assembly1	B	F	B8XCN0	B8XCN0	176701114	176701115
9734539	180184382	180184382	0	2697049	9606	7rbs-assembly1	A	B	P05161	P0DTD1	360368764	360368765
9734539	20213714	20213714	0	11122	9913	5bz0-assembly1	A	B	P0C6Y1	P62992	40427428	40427429
9734539	215887870	215887870	0	1235996	9606	5v6a-assembly1	A	B	K0BWD0	nan	431775740	431775741
9734539	244045747	244045747	0	290028	9606	7wfc-assembly1	A	B	P62987	U3N841	488091494	488091495
9734539	248567344	248567344	0	2697049	9606	6xa9-assembly3	E	F	P05161	P0DTD1	497134688	497134689
9734539	248567345	248567345	0	2697049	9606	6xaa-assembly1	A	B	P0CG47	P0DTD1	497134690	497134691
9734539	261616985	261616985	0	2697049	10090	6yva-assembly1	A	C	P0DTD1	Q64339	523233970	523233971
9734539	9734539	9734539	0	1235996	9606	6bi8-assembly2	B	D	K0BWD0	P05161	19469078	19469079
99777376	99777362	99777362	0	103690	103690	4lh9-assembly1	A	A-2	P27709	P27709	199554724	199554725
99777376	99777376	99777376	0	103690	103690	4lh9-assembly1	A-5	A-6	P27709	P27709	199554752	199554753
9907013	2496374	2496374	0	559292	4932	6ap1-assembly1	A	G	P36108		4992748	4992749
9907013	9907013	9907013	0	4932	4932	6bmf-assembly1	A	G	P36108	P52917	19814026	19814027
99777425	99777425	99777425	0	9606	9606	4lhu-assembly1	A	G	P0CF51	P15813	199554850	199554851
99777582	99777582	99777582	0	3827	3827	6lh6-assembly1	A	B	A0A1S2XQ25	A0A1S2XQ25	199555164	199555165
99838496	99838496	99838496	0	9031	9031	6lhf-assembly2	D	I	Q6QR64	Q9GIP6	199676992	199676993
99838497	99838497	99838497	0	9031	9031	6lhf-assembly2	D	J	Q6QR64	Q9GIP6	199676994	199676995
